step,c
5000,0.11363562920474608
5100,0.11258866990181284
5200,0.11173365341612639
5300,0.11114436720815277
5400,0.10964717643758329
5500,0.10895817414714618
5600,0.10765383571639422
5700,0.10694725307250906
5800,0.10620824897460697
5900,0.10536613384005897
6000,0.10435699817529065
6100,0.10368679463666147
6200,0.10320252942532156
6300,0.10237464003210239
6400,0.10200905577275295
6500,0.10125277711300756
6600,0.10102424390465906
6700,0.10029804822044726
6800,0.09979587821026661
6900,0.09923625092554048
7000,0.09920579970795541
7100,0.09883473131101826
7200,0.09852409088839303
7300,0.09826757497373279
7400,0.09773102779853596
7500,0.09738699492574839
7600,0.09726391553800062
7700,0.09718476106955919
7800,0.09699557740087297
7900,0.09701519370100144
8000,0.09660419967258065
8100,0.09667686529061019
8200,0.09644988286695698
8300,0.09642801038487046
8400,0.09623875761419064
8500,0.09632953760683258
8600,0.09598066392958532
8700,0.09609400565898601
8800,0.09628018266245153
8900,0.09615529022149454
9000,0.09602048215225598
9100,0.09602651659959263
9200,0.09591952272130262
9300,0.09587594177455928
9400,0.09581525890866266
9500,0.09573946655160502
9600,0.09551933599151165
9700,0.0957495082207174
9800,0.09545540815090729
9900,0.09535823764922105
10000,0.09555889964680173
10100,0.09554515637625494
10200,0.09549005649236714
10300,0.09547811302985673
10400,0.0952958697301273
10500,0.09539915208946928
10600,0.09535622796830306
10700,0.09542752585167046
10800,0.09535607188012642
10900,0.09530133596813113
11000,0.0953235289030832
11100,0.0952885531630752
11200,0.09529099838871284
11300,0.09514786719418411
11400,0.09520683212274045
11500,0.09528696529490871
11600,0.09523155944941303
11700,0.09504002052751909
11800,0.09511603882612003
11900,0.09517136860043753
12000,0.09517841448293536
12100,0.09517343852390116
12200,0.09509705681204261
12300,0.0950930401179431
12400,0.09502606763077377
12500,0.09494780394165325
12600,0.0950533862053834
12700,0.09498676962359386
12800,0.0949496610283582
12900,0.09484982966994504
13000,0.09486365361597758
13100,0.09483123355255758
13200,0.09485510005679247
13300,0.09488258119284164
13400,0.09483343343934056
13500,0.0948910914062345
13600,0.09489799922840442
13700,0.09488335390743532
13800,0.09492526354166107
13900,0.09481580826658192
14000,0.09477344591259203
14100,0.09474024002870823
14200,0.09465609177030578
14300,0.09457056716165044
14400,0.09462614777213763
14500,0.09454628735479834
14600,0.09445869216983613
14700,0.09456270915466615
14800,0.09452646793229875
14900,0.09453449250275678
15000,0.09452242260807968
15100,0.0945197674531543
15200,0.0945325749187916
15300,0.09452095602392095
15400,0.09457507723043318
15500,0.09448906667946254
15600,0.09448666243625077
15700,0.09444668947364131
15800,0.0944307671594767
15900,0.09446160237380972
16000,0.0943784068495486
16100,0.09439217974488165
16200,0.09425155286942369
16300,0.09437193755699044
16400,0.0942161306496576
16500,0.09423203781985066
16600,0.09435408232582107
16700,0.09441728906032691
16800,0.094446574630039
16900,0.09433253894179472
17000,0.09426301029107112
17100,0.09426430681369843
17200,0.09414705871921963
17300,0.09424097486188485
17400,0.09421867353114743
17500,0.09426437354744584
17600,0.09414278906438603
17700,0.09412967822461224
17800,0.09416143004636665
17900,0.09414546111928371
18000,0.09418644528483025
18100,0.09418516993790449
18200,0.09414979758811717
18300,0.09410297345413808
18400,0.09419588773346715
18500,0.09419562118677431
18600,0.09410036081193392
18700,0.09406025833973027
18800,0.09414548964737854
18900,0.09418992887109785
19000,0.0940478442361281
19100,0.09406751090736229
19200,0.09403881095488437
19300,0.09398432547393158
19400,0.09396304531468438
19500,0.09397618557495047
19600,0.094058967424004
19700,0.09393037638918254
19800,0.09401012850974846
19900,0.09384237813537992
20000,0.09396143500926295
20100,0.09394262694090909
20200,0.09388494282857203
20300,0.09397436637239519
20400,0.09379781309499234
20500,0.09392053282088773
20600,0.09391914163678473
20700,0.09390494823618642
20800,0.09400026821975947
20900,0.09386463400235123
21000,0.09396172864907804
21100,0.09393647286405814
21200,0.09390928149952535
21300,0.09387052341366593
21400,0.09383211847555961
21500,0.09386841524090565
21600,0.0938214738522354
21700,0.0938580931789804
21800,0.09382801901787864
21900,0.09381021792542624
22000,0.0937033458069943
22100,0.09372350949752109
22200,0.09373222779781287
22300,0.09368481982262844
22400,0.0937510177137912
22500,0.09367603502059473
22600,0.09374398357663655
22700,0.09366411744102006
22800,0.09365072555017125
22900,0.09368305896394002
23000,0.09364321722672761
23100,0.0936891327935698
23200,0.09361747413809421
23300,0.09355791583685762
23400,0.09362684986822932
23500,0.09353197558787214
23600,0.09356194476647252
23700,0.09357057667177074
23800,0.09341700921820296
23900,0.09349999022489888
24000,0.09362161164105942
24100,0.09356017913222754
24200,0.0935095206816185
24300,0.09355034727101252
24400,0.09352712336392635
24500,0.09349758915638541
24600,0.09342674751793605
24700,0.09344213629688741
24800,0.0934244063951343
24900,0.0934061964662503
25000,0.09349052735323082
25100,0.09347572259976411
25200,0.09338900419724648
25300,0.09334679441653924
25400,0.09330450135117105
25500,0.09331455252663433
25600,0.09341679387490388
25700,0.09333397910247013
25800,0.09339334612177225
25900,0.09340285484931168
26000,0.0934284612942067
26100,0.0933827259643628
26200,0.09332332572171455
26300,0.09335008527648908
26400,0.09340156319591328
26500,0.09333812897208377
26600,0.09332725036850634
26700,0.09337430641097942
26800,0.09334128835446084
26900,0.09328034441926791
27000,0.0933738761190334
27100,0.09334355987691116
27200,0.09327399677983414
27300,0.09323402650830924
27400,0.09319751036252759
27500,0.0933019982353542
27600,0.0932395572317897
27700,0.09314129585283018
27800,0.0931418356960754
27900,0.09317112691662265
28000,0.0931289928465287
28100,0.09315913260696687
28200,0.09312365200850317
28300,0.09310070454301062
28400,0.09314752304565083
28500,0.09314817466850653
28600,0.09300810883670213
28700,0.0931882576864048
28800,0.09307594662017556
28900,0.09314115623921627
29000,0.0930794507907091
29100,0.09303632231670358
29200,0.09308522348776992
29300,0.09295306804225463
29400,0.09303650804947582
29500,0.09311771639513852
29600,0.09305090459544864
29700,0.09309161054247557
29800,0.09300899053897253
29900,0.09303175352400156
30000,0.09299379047598649
30100,0.0929239230110867
30200,0.09292013410988022
30300,0.09282336720200113
30400,0.09294067569510803
30500,0.09286095991303141
30600,0.09283433206560796
30700,0.09291297402299226
30800,0.0929234134831627
30900,0.09286485501883272
31000,0.09295947405861224
31100,0.09299612862383543
31200,0.09290407408219577
31300,0.09294033279755808
31400,0.09292040275039964
31500,0.09294425310152094
31600,0.09292590559108761
31700,0.0928524861797852
31800,0.09286361521098943
31900,0.09284106388900316
32000,0.09288392817479126
32100,0.0928300327167843
32200,0.09276731677598771
32300,0.09271065158784385
32400,0.0927437970693448
32500,0.09277099165356045
32600,0.09274417543175459
32700,0.09261504727998844
32800,0.09268833118159069
32900,0.09267862640299807
33000,0.09262126872953554
33100,0.09266153508312644
33200,0.09264573928133742
33300,0.09262357897759681
33400,0.09263149544255818
33500,0.09265202932557746
33600,0.09259866935377624
33700,0.0926378480033971
33800,0.09255244677781511
33900,0.09259278207688196
34000,0.09253156200079198
34100,0.09253272865349775
34200,0.0925946769624308
34300,0.09259829217765618
34400,0.09257519829526542
34500,0.09264627339539543
34600,0.09262900989503822
34700,0.09249728289628448
34800,0.09253886554735408
34900,0.09249991743646481
35000,0.09247539539598731
35100,0.09247811126905554
35200,0.09247469810296306
35300,0.09247449625694494
35400,0.09247929492581015
35500,0.09253058828168713
35600,0.09251688489992231
35700,0.09248215784881013
35800,0.0925118527734478
35900,0.09235228451355083
36000,0.0923256274647205
36100,0.09236052075623075
36200,0.09238963391630954
36300,0.09229793471162408
36400,0.09233787462292872
36500,0.09234549529369887
36600,0.09229905892041453
36700,0.092315934482579
36800,0.09228923444455468
36900,0.0922573079225324
37000,0.09223479451444182
37100,0.09229461708437241
37200,0.09223491316945429
37300,0.09230295273327713
37400,0.09227131815918951
37500,0.09224896225514902
37600,0.09223807133044325
37700,0.09219180673601805
37800,0.0922324671124598
37900,0.09222133371626379
38000,0.09222275718098587
38100,0.09221345070722745
38200,0.09223326115405288
38300,0.09223337067810418
38400,0.09219947627722686
38500,0.09223024021817358
38600,0.09209311040862818
38700,0.0921066885317455
38800,0.09215904544738694
38900,0.09219942155540978
39000,0.09201311541582378
39100,0.092001081384018
39200,0.09204973639395178
39300,0.09207816272287751
39400,0.09211179501467757
39500,0.09208493998271018
39600,0.09208844271605604
39700,0.09214906854677567
39800,0.09211020202251788
39900,0.09208393015323212
40000,0.09202851448460911
40100,0.09206279250220244
40200,0.09199853874620169
40300,0.09204556394812438
40400,0.09201132600582271
40500,0.09195508137884302
40600,0.0919548455068866
40700,0.09200611258871783
40800,0.09200521347024095
40900,0.09195362987830005
41000,0.09190878295909405
41100,0.0919382830641199
41200,0.09199745816768712
41300,0.09194936636044967
41400,0.09187161296580737
41500,0.0919019862953263
41600,0.09187020937551864
41700,0.09177773944135784
41800,0.0918564745650961
41900,0.09183222006878794
42000,0.09177821840820993
42100,0.09178908235745294
42200,0.09184929643370258
42300,0.09183252769486573
42400,0.09177845337490854
42500,0.09177093503724336
42600,0.09176703177080654
42700,0.09174322180963732
42800,0.09170377651043773
42900,0.09166490600411337
43000,0.09172129253444324
43100,0.09172059754153039
43200,0.0917412713134671
43300,0.09171276380445732
43400,0.0916803330189892
43500,0.0917309603462175
43600,0.09160970524212848
43700,0.09163688738304171
43800,0.09167229878238657
43900,0.0916753463966042
44000,0.09165201657242915
44100,0.09161375722222408
44200,0.09157464807530384
44300,0.0916068420589952
44400,0.0916610027375894
44500,0.09155897778819912
44600,0.09157719432879131
44700,0.09153219240199946
44800,0.09151570097817062
44900,0.09151535054373612
45000,0.0915330822990261
45100,0.09153389131133866
45200,0.09147294982273058
45300,0.09150770455281212
45400,0.09140873656642041
45500,0.0914367414028279
45600,0.09148759388141119
45700,0.09144904097371212
45800,0.09142032022016533
45900,0.09134925075576279
46000,0.09143069599962367
46100,0.09142630147536403
46200,0.09139811482061631
46300,0.09141802477381863
46400,0.09135839255733555
46500,0.0914199256821208
46600,0.09138097285599016
46700,0.09147046322266297
46800,0.09132876221806548
46900,0.09134933133172139
47000,0.09137549021853683
47100,0.09132620291559872
47200,0.0913600939760183
47300,0.09137110099936815
47400,0.091299222637153
47500,0.09130727211234796
47600,0.09128113438513397
47700,0.09126913911292979
47800,0.09133127691718877
47900,0.09126467074157604
48000,0.09125163453466954
48100,0.09121763641069305
48200,0.09124146905695028
48300,0.09121396752152577
48400,0.09118538529006107
48500,0.09120063346143115
48600,0.0912266536696595
48700,0.09118129083349659
48800,0.09122368938388399
48900,0.09118838277243227
49000,0.09112178879398158
49100,0.09120176679417571
49200,0.09119255816558483
49300,0.09120301616999905
49400,0.09117237172190173
49500,0.09111793164338983
49600,0.09108642747940449
49700,0.09107212512203275
49800,0.09103339692729426
49900,0.09108065971580942
